2016-05-01T17:33:09.727+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T17:34:32.850+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51632 #19 (2 connections now open)
2016-05-01T17:34:32.851+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51633 #20 (3 connections now open)
2016-05-01T17:34:33.360+0200 I NETWORK  [conn20] end connection 127.0.0.1:51633 (2 connections now open)
2016-05-01T17:34:33.360+0200 I NETWORK  [conn19] end connection 127.0.0.1:51632 (2 connections now open)
2016-05-01T17:34:57.679+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51636 #21 (2 connections now open)
2016-05-01T17:34:57.680+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51637 #22 (3 connections now open)
2016-05-01T17:34:57.689+0200 I NETWORK  [conn21] end connection 127.0.0.1:51636 (2 connections now open)
2016-05-01T17:34:57.689+0200 I NETWORK  [conn22] end connection 127.0.0.1:51637 (2 connections now open)
2016-05-01T17:48:13.998+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T18:48:01.870+0200 I NETWORK  [conn14] end connection 127.0.0.1:51551 (0 connections now open)
2016-05-01T18:48:08.977+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51878 #23 (1 connection now open)
2016-05-01T18:57:24.823+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51929 #24 (2 connections now open)
2016-05-01T18:57:24.827+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51930 #25 (3 connections now open)
2016-05-01T18:57:24.836+0200 I NETWORK  [conn25] end connection 127.0.0.1:51930 (2 connections now open)
2016-05-01T18:57:24.836+0200 I NETWORK  [conn24] end connection 127.0.0.1:51929 (2 connections now open)
2016-05-01T18:57:50.875+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51941 #26 (2 connections now open)
2016-05-01T18:57:50.877+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51942 #27 (3 connections now open)
2016-05-01T18:57:50.890+0200 I NETWORK  [conn27] end connection 127.0.0.1:51942 (2 connections now open)
2016-05-01T18:57:50.890+0200 I NETWORK  [conn26] end connection 127.0.0.1:51941 (2 connections now open)
2016-05-01T18:58:55.690+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T18:59:19.538+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51944 #28 (2 connections now open)
2016-05-01T18:59:19.539+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51945 #29 (3 connections now open)
2016-05-01T18:59:19.562+0200 I NETWORK  [conn28] end connection 127.0.0.1:51944 (2 connections now open)
2016-05-01T18:59:19.562+0200 I NETWORK  [conn29] end connection 127.0.0.1:51945 (2 connections now open)
2016-05-01T19:01:33.043+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51948 #30 (2 connections now open)
2016-05-01T19:01:33.044+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51949 #31 (3 connections now open)
2016-05-01T19:01:33.066+0200 I NETWORK  [conn30] end connection 127.0.0.1:51948 (2 connections now open)
2016-05-01T19:01:33.066+0200 I NETWORK  [conn31] end connection 127.0.0.1:51949 (2 connections now open)
2016-05-01T19:02:04.968+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51950 #32 (2 connections now open)
2016-05-01T19:02:04.969+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51951 #33 (3 connections now open)
2016-05-01T19:02:04.993+0200 I NETWORK  [conn32] end connection 127.0.0.1:51950 (2 connections now open)
2016-05-01T19:02:04.993+0200 I NETWORK  [conn33] end connection 127.0.0.1:51951 (2 connections now open)
2016-05-01T19:02:18.960+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51952 #34 (2 connections now open)
2016-05-01T19:02:18.961+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51953 #35 (3 connections now open)
2016-05-01T19:02:18.982+0200 I NETWORK  [conn35] end connection 127.0.0.1:51953 (2 connections now open)
2016-05-01T19:02:18.982+0200 I NETWORK  [conn34] end connection 127.0.0.1:51952 (2 connections now open)
2016-05-01T19:03:00.522+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51964 #36 (2 connections now open)
2016-05-01T19:03:00.523+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51965 #37 (3 connections now open)
2016-05-01T19:03:00.552+0200 I NETWORK  [conn36] end connection 127.0.0.1:51964 (2 connections now open)
2016-05-01T19:03:00.552+0200 I NETWORK  [conn37] end connection 127.0.0.1:51965 (2 connections now open)
2016-05-01T19:04:04.907+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51969 #38 (2 connections now open)
2016-05-01T19:04:04.908+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51970 #39 (3 connections now open)
2016-05-01T19:04:04.927+0200 I NETWORK  [conn38] end connection 127.0.0.1:51969 (2 connections now open)
2016-05-01T19:04:04.927+0200 I NETWORK  [conn39] end connection 127.0.0.1:51970 (2 connections now open)
2016-05-01T19:04:15.632+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51971 #40 (2 connections now open)
2016-05-01T19:04:15.632+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51972 #41 (3 connections now open)
2016-05-01T19:04:15.655+0200 I NETWORK  [conn41] end connection 127.0.0.1:51972 (2 connections now open)
2016-05-01T19:04:15.655+0200 I NETWORK  [conn40] end connection 127.0.0.1:51971 (2 connections now open)
2016-05-01T19:08:56.375+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53512 #42 (2 connections now open)
2016-05-01T19:08:56.378+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53513 #43 (3 connections now open)
2016-05-01T19:08:56.406+0200 I NETWORK  [conn42] end connection 127.0.0.1:53512 (2 connections now open)
2016-05-01T19:08:56.406+0200 I NETWORK  [conn43] end connection 127.0.0.1:53513 (2 connections now open)
2016-05-01T19:14:00.259+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T19:36:13.371+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T19:51:17.198+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T20:06:21.967+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T20:21:26.184+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T20:30:22.198+0200 I NETWORK  [conn23] end connection 127.0.0.1:51878 (0 connections now open)
2016-05-01T20:36:31.179+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T20:51:35.447+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T21:06:40.440+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T21:12:37.256+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49298 #44 (1 connection now open)
